PID,SID,ID,EID,ESID,NAME,NAME_SI,NAME_TA,CXP_OLDCODE
49,1,925,1-2-03-005,005,Kammalthura,කම්මල්තුර,கம்மல்துரை,77A
49,2,926,1-2-03-010,010,Pallansena North,උතුරු පල්ලන්සේන,பல்லனசேன வடக்கு,77
49,3,927,1-2-03-015,015,Kochchikade,කොච්චිකඩේ,கொச்சிக‍டை,78
49,4,928,1-2-03-020,020,Pallansena South,දකුණු පල්ලන්සේන,பல்லண்‍சேன தெற்கு,76
49,5,929,1-2-03-025,025,Daluwakotuwa,දළුවකොටුව,தலுவகொடுவ,74
49,6,930,1-2-03-030,030,Palangathure,පලඟතුරේ,பலங்கது‍ரை,75A
49,7,931,1-2-03-035,035,Ettukala,ඒත්තුකාල,ஏத்துகால,73
49,8,932,1-2-03-040,040,Daluwakotuwa East,නැගෙනහිර දළුවකොටුව,தலுவகொட்டுவ கிழக்கு,74A
49,9,933,1-2-03-045,045,Kattuwa,කට්ටුව,கட்டுவ,75
49,10,934,1-2-03-050,050,Dalupotha East,නැගෙනහිර දළුපත,தலுபொத்த கிழக்கு,72A
49,11,935,1-2-03-055,055,Dalupotha,දළුපත,தலுபொத்த,72
49,12,936,1-2-03-060,060,Kudapaduwa,කුඩපාඩුව,குடாபாடுவ,73A
49,13,937,1-2-03-065,065,Kudapaduwa North,කුඩපාඩුව උතුර,குடாபாடுவ வடக்கு,73B
49,14,938,1-2-03-070,070,Kudapaduwa South,කුඩපාඩුව දකුණ,குடாபாடுவ தெற்கு,73C
49,15,939,1-2-03-075,075,Wella Weediya,වැල්ල වීදිය,கடற்கரைத் தெரு,158
49,16,940,1-2-03-080,080,Wella Weediya East,වැල්ල වීදිය නැගෙනහිර,கடற்கரை தெரு கிழக்கு,158B
49,17,941,1-2-03-085,085,Periyamulla,පෙරියමුල්ල,பெரியமுல்ல,159
49,18,942,1-2-03-090,090,Hunupitiya,හුණුපිටිය,ஹுனுபிடிய,159A
49,19,943,1-2-03-095,095,Angurukaramulla,අඟුරුකාරමුල්ල,அங்குருகரமுள்ள,161A
49,20,944,1-2-03-100,100,Udayarthoppuwa,උඩයාර්තෝප්පුව,உடையார் தோப்பு,160
49,21,945,1-2-03-105,105,Wella Weediya South,දකුණු වැල්ල වීදිය,தெற்கு கடற்கரைத்தெரு,158A
49,22,946,1-2-03-110,110,Munnakkarai North,උතුරු මුන්නක්කරය,வடக்கு முன்னக்கரை,156A
49,23,947,1-2-03-115,115,Doowa,දූව,தீவு,162A
49,24,948,1-2-03-120,120,Pitipana North,උතුරු පිටිපන,வடக்கு பிடிபன,162
49,25,949,1-2-03-125,125,Pitipana Central,මැද පිටිපන,மத்திய பிடிபன,162D
49,26,950,1-2-03-130,130,Munnakkaraya,මුන්නක්කරය,முன்னக்கரை,156
49,27,951,1-2-03-135,135,Munnakkarai East,නැගෙනහිර මුන්නක්කරය,கிழக்கு முன்னக்கரை,156B
49,28,952,1-2-03-140,140,Thaladuwa,තලාදූව,தலாதீவு,160A
49,29,953,1-2-03-145,145,Udayarthoppuwa South,දකුණු උඩයාර්තෝප්පුව,தெற்கு உடையார் தோப்பு,160B
49,30,954,1-2-03-150,150,Bolawalana,බෝලවලාන,‍போலவலான,157
49,31,955,1-2-03-155,155,Kurana West,බටහිර කුරණ,‍மேற்கு குரண,157B
49,32,956,1-2-03-160,160,Kurana East,නැගෙනහිර කුරණ,குரண கிழக்கு,157A
49,33,957,1-2-03-165,165,Siriwardana Pedesa,සිරිවර්ධන පෙදෙස,சிரிவர்தன பிரதேசம்,156C
49,34,958,1-2-03-170,170,South Pitipana East,දකුණ පිටිපන නැගෙනහිර,தெற்கு பிடிபன கிழக்கு,162C
49,35,959,1-2-03-175,175,Pitipana South,දකුණු පිටිපන,தெற்கு பிடிபன,162B
49,36,960,1-2-03-180,180,Thalahena,තලාහේන,தலா‍ஹேன,163
49,37,961,1-2-03-185,185,Dungalpitiya,දුන්ගාල්පිටිය,துன்கால்பிடிய,163B
49,38,962,1-2-03-190,190,Seththappaduwa,සෙත්තප්පාඩුව,செத்தப்பாடுவ,163C
49,39,963,1-2-03-195,195,Kepungoda,කැපුන්ගොඩ,கபுன்கொட,163A
50,1,964,1-2-06-005,005,Muruthana,මුරුතාන,முருதான,66
50,2,965,1-2-06-010,010,Manaveriya,මානාවේරිය,மானாவெரிய,67A
50,3,966,1-2-06-015,015,Udangawa,උඩංගාව,உடங்காவ,67
50,4,967,1-2-06-020,020,Thoppuwa,තෝප්පුව,‍தோப்புவ,65A
50,5,968,1-2-06-025,025,Bambukuliya,බම්බුකුලිය,பம்புக்குளிய,65
50,6,969,1-2-06-030,030,Katana North,කටාන උතුර,கட்டான வடக்கு,64A
50,7,970,1-2-06-035,035,Katana East,කටාන නැගෙනහිර,கட்டான கிழக்கு,63
50,8,971,1-2-06-040,040,Katana West,කටාන බටහිර,கட்டான ‍மேற்கு,64
50,9,972,1-2-06-045,045,Maha Ethgala,මහ ඇත්ගාල,மஹா எத்கால,68A
50,10,973,1-2-06-050,050,Ethgala,ඇත්ගාල,எத்கால,68
50,11,974,1-2-06-055,055,Adikkandiya,අඩික්කන්ඩිය,அடிக்கண்டிய,69B
50,12,975,1-2-06-060,060,Welihena North,වැලිහේන උතුර,வெலி‍ஹேண வடக்கு,69
50,13,976,1-2-06-065,065,Welihena South,වැලිහේන දකුණ,வெலி‍ஹேண தெற்கு,69A
50,14,977,1-2-06-070,070,Pahala Kandawala,පහළ කඳවල,பஹல கந்தவல,70A
50,15,978,1-2-06-075,075,Ethgala South,ඇත්ගාල දකුණ,எத்கால தெற்கு,68B
50,16,979,1-2-06-080,080,Ihala Kandawala,ඉහළ කදවල,இஹல கந்தவள,70
50,17,980,1-2-06-085,085,Kaluwarippuwa West,කළුවරිප්පුව බටහිර,களுவரிப்புவ ‍மேற்கு,94
50,18,981,1-2-06-090,090,Kondagammulla,‍කොන්දගම්මුල්ල,கொண்தகம்முல்ல,93
50,19,982,1-2-06-095,095,Katiyala,කටියල,கட்டியால,93B
50,20,983,1-2-06-100,100,Kadirana North,කදිරාන උතුර,கதிரான வடக்கு,93A
50,21,984,1-2-06-105,105,K.C. De Silvapura,කේ .සී ද සිල්වාපුර,‍‍கே.சீ.த. சில்வா புரம்,70B
50,22,985,1-2-06-110,110,Thimbirigaskatuwa,තිඹිරිගස්කටුව,திம்பிரிகஸ்கட்டுவ,71
50,23,986,1-2-06-115,115,Sellakanda,සෙල්ලකන්ද,செல்லகந்த,161C
50,24,987,1-2-06-120,120,Katuwapitiya,කටුවපිටිය,கட்டுவாபிட்டிய,161B
50,25,988,1-2-06-125,125,Mahahunupitiya West,මහහුණුපිටිය බටහිර,மஹஹுணுபிட்டிய ‍மேற்கு,161D
50,26,989,1-2-06-130,130,Mahahunupitiya East,මහහුණුපිටිය නැගෙනහිර,மஹஹுணுபிட்டிய கிழக்கு,161
50,27,990,1-2-06-135,135,Pahala Kadirana,පහළ කදිරාන,பஹல கதிரான,93F
50,28,991,1-2-06-140,140,Kadirana,කදිරාන,கதிரான,93E
50,29,992,1-2-06-145,145,Akkara 50,අක්කර 50,அக்கர 50,93D
50,30,993,1-2-06-150,150,Kadirana South,කදිරාන දකුණ,கதிரான தெற்கு,93C
50,31,994,1-2-06-155,155,Kimbulapitiya West,කිඹුලාපිටිය බටහිර,கிம்புலாபிட்டிய ‍மேற்கு,92B
50,32,995,1-2-06-160,160,Kimbulapitiya North,කිඹුලාපිටිය උතුර,கிம்புலாபிட்டிய வடக்கு,92A
50,33,996,1-2-06-165,165,Kimbulapitiya South,කිඹුලාපිටිය දකුණ,கிம்புலாபிட்டிய தெற்கு,92
50,34,997,1-2-06-170,170,Kimbulapitiya Central,කිඹුලාපිටිය මධ්‍යම,மத்திய கிம்புலாபிட்டிய,92C
50,35,998,1-2-06-175,175,Andiambalama West,ආඬිඅම්බලම බටහිර,ஆடியம்பலம ‍மேற்கு,155
50,36,999,1-2-06-180,180,Walpola,වල්පොල,வல்பொல,155A
50,37,1000,1-2-06-185,185,Andiambalama East,ආඬිඅම්බලම නැගෙනහිර,ஆடியம்பலம கிழக்கு,155B
50,38,1001,1-2-06-190,190,Dewamottawa,දැවමොට්ටාව,‍‍தெவமொட்டாவ,154
50,39,1002,1-2-06-195,195,Kovinna,කෝවින්න,‍‍கோவின்ன,151
50,40,1003,1-2-06-200,200,Evariwatta,ඇවරිවත්ත,எவரிவத்தை,149
50,41,1004,1-2-06-205,205,Air Force Camp,ගුවන් හමුදා කඳවුර,விமானப்படை முகாம்,150
50,42,1005,1-2-06-210,210,Kurana Katunayaka Central,කුරණ කටුනායක,குரண கட்டுநாயக்கா மேற்கு,142B
50,43,1006,1-2-06-215,215,Kurana Katunayaka,කුරණ කටුනායක,குரண கட்டுநாயக வடக்கு,142
50,44,1007,1-2-06-220,220,Kurana Katunayaka South,කුරණ කටුනායක දකුණ,குரண கட்டுநாயக தெற்கு,142A
50,45,1008,1-2-06-225,225,Katunayaka North,කටුනායක උතුර,கட்டுநாயக வடக்கு,143
50,46,1009,1-2-06-230,230,Katunayaka South,කටුනායක දකුණ,கட்டுநாயக தெற்கு,143A
50,47,1010,1-2-06-235,235,Walanagoda,වලානගොඩ,வளாணகொட,152A
50,48,1011,1-2-06-240,240,Kalahapitiya,කලහපිටිය,களஹபிட்டிய,154A
50,49,1012,1-2-06-245,245,Madawala,මඩවල,மடவல,152
50,50,1013,1-2-06-250,250,Muthuwadiya,මුතුවාඩිය,முதுவாடிய,201
50,51,1014,1-2-06-255,255,Liyanagemulla North,ලියනගේමුල්ල උතුර,லியண‍கேமுல்ல வடக்கு,144A
50,52,1015,1-2-06-260,260,Liyanagemulla South,ලියනගේමුල්ල දකුණ,லியண‍கேமுல்ல தெற்கு,144
50,53,1016,1-2-06-265,265,Amandoluwa,අමන්දොළුව,அமந்தொலுவ,148
50,54,1017,1-2-06-270,270,Thampala,තැම්පල,தெம்பல,200
50,55,1018,1-2-06-275,275,Kuswala,කුස්වල,குஸ்வள,202
50,56,1019,1-2-06-280,280,Ganepola,ගනේපොල,க‍ணேப்பொல,203
50,57,1020,1-2-06-285,285,Heenatiyana West,හීනටියන බටහිර,ஹீணட்டியண ‍மேற்கு,153
50,58,1021,1-2-06-290,290,Heenatiyana South,හීනටියන දකුණ,ஹீணட்டியண தெற்கு,153B
50,59,1022,1-2-06-295,295,Heenatiyana East,හීනටියන නැගෙනහිර,ஹீணட்டியண கிழக்கு,153A
50,60,1023,1-2-06-300,300,Raddolugama North A,රද්දොළුගම උතුර ඒ,இரத்தொழுகம வடக்கு ' A ',199F
50,61,1024,1-2-06-305,305,Raddolugama North,රද්දොළුගම උතුර,இரத்தொழுகம வடக்கு,199C
50,62,1025,1-2-06-310,310,Raddolugama South,රද්දොළුගම දකුණ,இரத்தொழுகம தெற்கு,199B
50,63,1026,1-2-06-315,315,Raddolugama South A,රද්දොළුගම දකුණ ඒ,இரத்தொழுகம தெற்கு ' A ',199E
50,64,1027,1-2-06-320,320,Raddoluwa North,රද්දොළුව උතුර,இரத்தொழுவ வடக்கு,199
50,65,1028,1-2-06-325,325,Raddoluwa West,රද්දොළුව බටහිර,இரத்தொழுவ ‍மேற்கு,199D
50,66,1029,1-2-06-330,330,Seeduwa,සීදූව,சீதுவ,147
50,67,1030,1-2-06-335,335,Mookalangamuwa West,මූකලන්ගමුව බටහිර,மூகளன்கமுவ ‍மேற்கு,145B
50,68,1031,1-2-06-340,340,Mookalangamuwa East,මූකලන්ගමුව නැගෙනහිර,மூகளன்கமுவ கிழக்கு,145A
50,69,1032,1-2-06-345,345,Bandarawatta East,බණ්ඩාරවත්ත නැගෙනහිර,பண்டாரவத்த கிழக்கு,145C
50,70,1033,1-2-06-350,350,Bandarawatta West,බණ්ඩාරවත්ත බටහිර,பண்டாரவத்த ‍மேற்கு,145
50,71,1034,1-2-06-355,355,Dambaduraya,දඹදුරය,தம்பதுரய,198A
50,72,1035,1-2-06-360,360,Raddoluwa South,රද්දොළුව දකුණ,இரத்தொழுவ தெற்கு,199A
50,73,1036,1-2-06-365,365,Lansiyawadiya,ලන්සියාවාඩිය,லங்சியாவாடிய,204A
50,74,1037,1-2-06-370,370,Kotugoda,කොටුගොඩ,கொடுகொட,204
50,75,1038,1-2-06-375,375,Kasagahawatta,කසගහවත්ත,கஸகஹவத்த,204B
50,76,1039,1-2-06-380,380,Udammita North,උදම්මිට උතුර,உடம்மிட வடக்கு,197
50,77,1040,1-2-06-385,385,Alawathupitiya,අලවතුපිටිය,அளவதுபிடிய,198
50,78,1041,1-2-06-390,390,Udammita South,උදම්මිට දකුණ,உடம்மிட தெற்கு,197A
50,79,1042,1-2-06-395,395,Ambalammulla,අම්බලන්මුල්ල,அம்பளம்முள்ள,146
51,1,1043,1-2-09-005,005,Andimulla,ආඬිමුල්ල,ஆண்டிமுல்ல,61A
51,2,1044,1-2-09-010,010,Ambalayaya,අම්බලයාය,அம்பளயாய,61
51,3,1045,1-2-09-015,015,Bolagala,බෝලගල,‍போல்லகல,60A
51,4,1046,1-2-09-020,020,Otharawadiya,ඔතරවාඩිය,ஒத்தரவாடிய,60
51,5,1047,1-2-09-025,025,Godigamuwa West,ගොඩිගමුව බටහිර,கொடிகமுவ ‍மேற்கு,57
51,6,1048,1-2-09-030,030,Godigamuwa East,ගොඩිගමුව නැගෙනහිර,கொடிகமுவ கிழக்கு,57A
51,7,1049,1-2-09-035,035,Balawala,බලවල,பலவள,56C
51,8,1050,1-2-09-040,040,Badalgama,බඩල්ගම,படல்கம,56
51,9,1051,1-2-09-045,045,Delpakadawara,දෙල්පකඩවර,தெல்பகடவர,56A
51,10,1052,1-2-09-050,050,Sirigapathawatta,සිරිගපාතවත්ත,சிரிகபாதவத்த,55C
51,11,1053,1-2-09-055,055,Pethigoda,පැතිගොඩ,பதிகொட,55
51,12,1054,1-2-09-060,060,Alugolla,අළුගොල්ල,அளுகொள்ள,55B
51,13,1055,1-2-09-065,065,Polwatta,පොල්වත්ත,பொல்வத்த,54A
51,14,1056,1-2-09-070,070,Polhena,පොල්හේන,பொல்‍ஹேண,80E
51,15,1057,1-2-09-075,075,Mellawagedara,මැල්ලවගෙදර,மல்லவகெதர,80A
51,16,1058,1-2-09-080,080,Diklanda,දික්ලන්ද,திக்லந்த,80D
51,17,1059,1-2-09-085,085,Katukenda,කටුකෙන්ද,கட்டுகெந்த,55A
51,18,1060,1-2-09-090,090,Akarangaha,අකරන්ගහ,அக்கரங்கஹ,56B
51,19,1061,1-2-09-095,095,Kehelella West,කෙහෙල්ඇල්ල බටහිර,கெஹெல்எல்ல ‍மேற்கு,82C
51,20,1062,1-2-09-100,100,Lihiniyagammana,ලිහිණියගම්මන,இலிஹினியகம்மன,82B
51,21,1063,1-2-09-105,105,Akaragama East,අකරගම නැගෙනහිර,அகரகம கிழக்கு,58B
51,22,1064,1-2-09-110,110,Akaragama West,අකරගම බටහිර,அகரகம ‍மேற்கு,58
51,23,1065,1-2-09-115,115,Akaragama North,අකරගම උතුර,அக்கரகம வடக்கு,58C
51,24,1066,1-2-09-120,120,Pahala Madampella,පහළ මඩම්පැල්ල,பகல மடம்பல்ல,59
51,25,1067,1-2-09-125,125,Halpe,හල්පෙ,ஹல்‍பே,61B
51,26,1068,1-2-09-130,130,East Kaluwarippuwa North,නැගෙනහිර කළුවාරිප්පුව උතුර,கிழக்கு களுவாரிப்புவ வடக்கு,95A
51,27,1069,1-2-09-135,135,Koonagodamulla North,කොන්ගොඩමුල්ල උතුර,கோனகொடமுள்ள வடக்கு,62B
51,28,1070,1-2-09-140,140,Kongodamulla West,කොන්ගොඩමුල්ල බටහිර,கொங்கொடமுள்ள ‍மேற்கு,62
51,29,1071,1-2-09-145,145,Kongodamulla South,කොන්ගොඩමුල්ල දකුණ,கொங்கொடமுள்ள தெற்கு,62C
51,30,1072,1-2-09-150,150,Kongodamulla East,කොන්ගොඩමුල්ල නැගෙනහිර,கோன்கொடமுல்ல கிழக்கு,62A
51,31,1073,1-2-09-155,155,Ihala Madampella North,ඉහළ මඩම්පැල්ල උතුර,இஹல மடம்பல்ல வடக்கு,58E
51,32,1074,1-2-09-160,160,Ihala Madampella West,ඉහළ මඩම්පැල්ල බටහිර,இஹல மடம்பல்ல ‍மேற்கு,58D
51,33,1075,1-2-09-165,165,Ihala Madampella East,ඉහළ මඩම්පැල්ල නැගෙනහිර,இஹல மடம்பல்ல கிழக்கு,58A
51,34,1076,1-2-09-170,170,Ihalagama,ඉහළගම,இஹலகம,58F
51,35,1077,1-2-09-175,175,Kehelella South,කෙහෙල්ඇල්ල දකුණ,கெஹெல்எல்ல தெற்கு,82A
51,36,1078,1-2-09-180,180,Kehelella North,කෙහෙල්ඇල්ල උතුර,கெஹெல்எல்ல வடக்கு,82
51,37,1079,1-2-09-185,185,Delwagura,දෙල්වගුර,தெல்வகுர,81
51,38,1080,1-2-09-190,190,Wekada,වෑකඩ,‍‍வேகட,80B
51,39,1081,1-2-09-195,195,Kalumada,කළුමඩ,களுமட,80C
51,40,1082,1-2-09-200,200,Agalegedara,අගලෙගෙදර,அகலெகெதர,79C
51,41,1083,1-2-09-205,205,Waradala,වරාදල,வராதள,79A
51,42,1084,1-2-09-210,210,Kotadeniyawa,කොටදෙනියාව,கொட்டதெணியாவ,54B
51,43,1085,1-2-09-215,215,Erabadda,එරබද්ද,எரபத்த,54
51,44,1086,1-2-09-220,220,Diyagampala,දියගම්පල,தியகம்பல,53C
51,45,1087,1-2-09-225,225,Koradaminna,කොරදමින්න,கொரதமிண்ண,53E
51,46,1088,1-2-09-230,230,Dimbuldeniya,දිඹුල්දෙනිය,திபுல்தெனிய,53B
51,47,1089,1-2-09-235,235,Paragoda North,පරගොඩ උතුර,தொரொவ்வ பரகொட பகுதி,53F
51,48,1090,1-2-09-240,240,Paragoda South,පරගොඩ දකුණ,பராகொட தெற்கு,53A
51,49,1091,1-2-09-245,245,Moragalkanda,මොරගල්කන්ද,மொரகல்கந்த,53D
51,50,1092,1-2-09-250,250,Nawana West,නාවාන බටහිර,நாவண ‍மேற்கு,53
51,51,1093,1-2-09-255,255,Hettimulla,හෙට්ටිමුල්ල,ஹெட்டிமுள்ள,52B
51,52,1094,1-2-09-260,260,Halloluwa,හල්ලො‍ලුව,அம்பகஹலந்த பகுதி,52
51,53,1095,1-2-09-265,265,Kelegedara,කැලෑගෙදර,க‍லேகெதர,52A
51,54,1096,1-2-09-270,270,Heeralugedara,හීරළුගෙදර,ஹீரலுகெதர,79B
51,55,1097,1-2-09-275,275,Walpita,වල්පිට,வல்பிட,79
51,56,1098,1-2-09-280,280,Welagana,වෙලගාන,வெலகாண,80
51,57,1099,1-2-09-285,285,Thammita,තම්මිට,தம்மிட்ட,84
51,58,1100,1-2-09-290,290,Palliyapitiya West,පල්ලියපිටිය බටහිර,பல்லியபிடிய ‍மேற்கு,83
51,59,1101,1-2-09-295,295,Induragara North,ඉඳුරාගාර උතුර,இந்துராகார வடக்கு,88A
51,60,1102,1-2-09-300,300,Induragara South,ඉඳුරාගාර දකුණ,இந்துராகார தெற்கு,88D
51,61,1103,1-2-09-305,305,Kadawala North,කඩවල උතුර,கடவள வடக்கு,96A
51,62,1104,1-2-09-310,310,Kadawala,කඩවල,கடவள,96
51,63,1105,1-2-09-315,315,East Kaluwarippuwa South,නැගෙනහිර කළුවාරිප්පුව දකුණ,கிழக்கு களுவாரிப்புவ தெற்கு,95
51,64,1106,1-2-09-320,320,Miriswatta,මිරිස්වත්ත,மிரிஸ்வத்த,95B
51,65,1107,1-2-09-325,325,Dagonna North,දාගොන්න උතුර,தாகொண்ண வடக்கு,91
51,66,1108,1-2-09-330,330,Dagonna East,දාගොන්න නැගෙනහිර,தாகொண்ண கிழக்கு,91C
51,67,1109,1-2-09-335,335,Halgahawelawatta,හල්ගහවෙලවත්ත,ஹல்கஹவெளவத்த,90B
51,68,1110,1-2-09-340,340,Katuwellegama North,කටුවැල්ලේගම උතුර,கட்டுவலேகம வடக்கு,90A
51,69,1111,1-2-09-345,345,Kadawala South,කඩවල දකුණ,கடவள தெற்கு,96B
51,70,1112,1-2-09-350,350,Batepola,බටේපොල,பட்‍டேபொல,88B
51,71,1113,1-2-09-355,355,Doonagaha South,දූනගහ දකුණ,தூணகஹ தெற்கு,88C
51,72,1114,1-2-09-360,360,Doonagaha,දූනගහ,தூணகஹ,88
51,73,1115,1-2-09-365,365,Palliyapitiya East,පෑල්ලියපිටිය නැගෙනහිර,பல்லியபிடிய கிழக்கு,83A
51,74,1116,1-2-09-370,370,Hunumulla,හුණුමුල්ල,ஹுணுமுள்ள,86
51,75,1117,1-2-09-375,375,Hapugahagama,හපුගහගම,ஹபுகஹகம,85B
51,76,1118,1-2-09-380,380,Barawavila,බරවාවිල,பரவாவிள,85
51,77,1119,1-2-09-385,385,Kudagammana,කුඩගම්මන,குடகம்மண,51
51,78,1120,1-2-09-390,390,Pahala Madithiyawala,පහළ මඩිතියවල,பஹல மடிதியவள,46
51,79,1121,1-2-09-395,395,Kaluaggala,කළුඅග්ගල,களுஅக்கள,44A
51,80,1122,1-2-09-400,400,Kuleegedara,කුලීගෙදර,குளீகெதர,45
51,81,1123,1-2-09-405,405,Nawana East,නාවාන නැගෙනහිර,நாவாண கிழக்கு,53G
51,82,1124,1-2-09-410,410,Nariyamulla,නරියමුල්ල,நாரியமுள்ள,42A
51,83,1125,1-2-09-415,415,Halpe,හල්පෙ,ஹல்‍பே,42
51,84,1126,1-2-09-420,420,Parana Halpe West,පරණ හල්පෙ බටහිර,பரண ஹல்‍பே மேற்கு,41
51,85,1127,1-2-09-425,425,Parana Halpe East,පරණ හල්පෙ නැගෙනහිර,பரண ஹல்‍பே கிழக்கு,41A
51,86,1128,1-2-09-430,430,Gurullagama,ගුරුල්ලගම,குருள்ளகம,42B
51,87,1129,1-2-09-435,435,Ihala Kithulwala,ඉහළ කිතුල්වල,இஹல கித்துல்வள,43A
51,88,1130,1-2-09-440,440,Pahala Kithulwala,පහළ කිතුල්වල,பஹல கித்துல்வள,43
51,89,1131,1-2-09-445,445,Kithulwala North,කිතුල්වල උතුර,கித்துல்வள வடக்கு,43B
51,90,1132,1-2-09-450,450,Kaluaggala Pahalagama,කළුඅග්ගල පහළගම,களுஅக்கள பஹலகம,44B
51,91,1133,1-2-09-455,455,Wattemulla,වත්තේමුල්ල,வத்‍தேமுள்ள,44
51,92,1134,1-2-09-460,460,Ihala Madithiyawala,ඉහළ මඩිතියවල,இஹல மடிதியவள,46A
51,93,1135,1-2-09-465,465,Hangawatta,හඟ‍‍වත්ත,ஹங்கவத்த,47
51,94,1136,1-2-09-470,470,Rassapana,රස්සපාන,ரஸ்ஸபான,48
51,95,1137,1-2-09-475,475,Balagalla West,බලගල්ල බටහිර,பலகல்ல ‍மேற்கு,50
51,96,1138,1-2-09-480,480,Parana Handiya,පරණ හන්දිය,பரண ஹந்திய,50B
51,97,1139,1-2-09-485,485,Pinnakele,පින්නකැලේ,பிண்ணகெ‍லே,85A
51,98,1140,1-2-09-490,490,Pinnakele South,පින්නකැලේ දකුණ,பிண்ணகெ‍லே தெற்கு,85C
51,99,1141,1-2-09-495,495,Urapana,ඌරපාන,ஊரபாண,86B
51,100,1142,1-2-09-500,500,Kelepitimulla,කැලෑපිටිමුල්ල,கெ‍லேபிட்டிமுள்ள,86A
51,101,1143,1-2-09-505,505,Sayakkaramulla,සායක්කාරමුල්ල,சாயக்கரமுள்ள,86C
51,102,1144,1-2-09-510,510,Henpitagedara,හේන්පිටගෙදර,‍‍ஹேண்பிடகெதர,87C
51,103,1145,1-2-09-515,515,Aluthepola West,අළුතැපොල බටහිර,அளுத்‍தேபொல ‍மேற்கு,89
51,104,1146,1-2-09-520,520,Thotillagahawatta,තොටිල්ලගහවත්ත,தொட்டில்லகஹவத்த,89A
51,105,1147,1-2-09-525,525,Katuwellegama South,කටුවැල්ලේගම දකුණ,கட்டுவெல்‍லேகம தெற்கு,90
51,106,1148,1-2-09-530,530,Palugahawela,පලුගහවෙල,பலுகஹவெள,91B
51,107,1149,1-2-09-535,535,Dagonna South,දාගොන්න දකුණ,தாகொண்ண தெற்கு,91A
51,108,1150,1-2-09-540,540,Hapuwalana South,හපුවලාන දකුණ,ஹப்புவளாண தெற்கு,87B
51,109,1151,1-2-09-545,545,Hapuwalana,හපුවලාන,ஹப்புவளாண,87
51,110,1152,1-2-09-550,550,Bomugammana North,බෝමුගම්මන උතුරඋතුර,பொமுகம்மண வடக்கு,97A
51,111,1153,1-2-09-555,555,Bomugammana South,බෝමුගම්මන දකුණ,பொமுகம்மண தெற்கு,97B
51,112,1154,1-2-09-560,560,Pinnalanda,පින්නලන්ද,பிண்ணலந்த,97D
51,113,1155,1-2-09-565,565,Divulapitiya,දිවුලපිටිය,திவுலபிட்டிய,97
51,114,1156,1-2-09-570,570,Balagalla East,බලගල්ල නැගෙනහිර,பலகல்ல கிழக்கு,50A
51,115,1157,1-2-09-575,575,Ullapola East,උල්ලලපොල නැගෙනහිර,உள்ளனபொல கிழக்கு,49
51,116,1158,1-2-09-580,580,Ullapola West,උල්ලලපොල බටහිර,உள்ளபொல மேற்கு,49A
51,117,1159,1-2-09-585,585,Wewagedara,වැවගෙදර,வெவகெதர,97C
51,118,1160,1-2-09-590,590,Horagasmulla,හොරගස්මුල්ල,ஹொரகஸ்முள்ள,97E
51,119,1161,1-2-09-595,595,Aswennawatta East,අස්වැන්නවත්ත නැගෙනහිර,அஸ்வெண்ணவத்த கிழக்கு,104
51,120,1162,1-2-09-600,600,Hapuwalana North,හපුවලාන උතුර,ஹப்புவளாண வடக்கு,87A
51,121,1163,1-2-09-605,605,Aswennawatta West,අස්වැන්නවත්ත බටහිර,அஸ்வெண்ணவத்த மேற்கு,104A
51,122,1164,1-2-09-610,610,Weragodamulla,වේරගොඩමුල්ල,‍‍வேரகொடமுள்ள,104B
51,123,1165,1-2-09-615,615,Aluthepola East,අළුතැපොල නැගෙනහිර,அளுத்‍தேபொல கிழக்கு,89B
52,1,1166,1-2-12-005,005,Nalla,නාල්ල,நால்ல,3A
52,2,1167,1-2-12-010,010,Giriullagama,ගිරිඋල්ලගම,கிரிஉல்லகம,1A
52,3,1168,1-2-12-015,015,Loluwagoda,ලෝලුවාගොඩ,லொலுவாகொட,1
52,4,1169,1-2-12-020,020,Delwala South,දෙල්වල දකුණ,தெல்வள தெற்கு,3B
52,5,1170,1-2-12-025,025,Delwala,දෙල්වල,தெல்வள,3
52,6,1171,1-2-12-030,030,Loluwagoda South,ලෝලුවාගොඩ දකුණ,லொலுவாகொட தெற்கு,1B
52,7,1172,1-2-12-035,035,Madurupitiya,මදුරුපිටිය,மதுருபிட்டிய,11
52,8,1173,1-2-12-040,040,Hapugahagedara,හපුගහගෙදර,ஹபுகஹகெதர,11A
52,9,1174,1-2-12-045,045,Kadangamuwa,කඳන්ගමුව,கந்தன்கமுவ,2
52,10,1175,1-2-12-050,050,Henegama,හේනේගම,‍‍‍ஹேனெகம,5
52,11,1176,1-2-12-055,055,Maladeniya,මාලදෙණිය,மலதெணிய,4A
52,12,1177,1-2-12-060,060,Kahadawa,කහදව,கஹந்தவ,4
52,13,1178,1-2-12-065,065,Kandalama,කණ්ඩලම,கந்டலம,6
52,14,1179,1-2-12-070,070,Walbotale,වල්බෝතලේ,வல்‍போத‍லே,10
52,15,1180,1-2-12-075,075,Perisyala,පිරිස්යාල,பி‍ரிஸ்யால,12A
52,16,1181,1-2-12-080,080,Kamarangawa,කාමරන්ගාව,கமரகொட,12B
52,17,1182,1-2-12-085,085,Keenadeniya,කීනදෙනිය,கீணதெணிய,12
